collected_at,route_id,route_name,current_min,avg_min,delta_min,status
2026-09-01T00:59:36Z,12,A59 → Kennedybrücke,6.1,7.7,-1.6,fast
2026-09-01T00:59:36Z,149,Kennedybrücke → A59,4.1,6,-1.9,fast
2026-09-01T00:59:36Z,14,Kölnstr. → Bertha,5.3,7.2,-1.9,fast
2026-09-01T06:00:30Z,12,A59 → Kennedybrücke,16.9,7.7,9.2,slow
2026-09-01T06:00:30Z,149,Kennedybrücke → A59,8.2,6,2.2,moderate
2026-09-01T06:00:30Z,14,Kölnstr. → Bertha,10.7,7.2,3.5,moderate
2026-09-01T11:13:26Z,12,A59 → Kennedybrücke,10.3,7.7,2.6,moderate
2026-09-01T11:13:26Z,149,Kennedybrücke → A59,9.5,6,3.5,slow
2026-09-01T11:13:26Z,14,Kölnstr. → Bertha,10.9,7.2,3.7,slow
2026-09-01T15:28:15Z,12,A59 → Kennedybrücke,17.9,7.7,10.2,slow
2026-09-01T15:28:15Z,149,Kennedybrücke → A59,9,6,3,slow
2026-09-01T15:28:15Z,14,Kölnstr. → Bertha,14.6,7.2,7.4,slow
2026-09-01T18:40:59Z,12,A59 → Kennedybrücke,6.4,7.7,-1.3,fast
2026-09-01T18:40:59Z,149,Kennedybrücke → A59,8.2,6,2.2,moderate
2026-09-01T18:40:59Z,14,Kölnstr. → Bertha,6.4,7.2,-0.8,fast
2026-09-01T21:18:56Z,12,A59 → Kennedybrücke,6.4,7.7,-1.3,fast
2026-09-01T21:18:56Z,149,Kennedybrücke → A59,4.8,6,-1.2,fast
2026-09-01T21:18:56Z,14,Kölnstr. → Bertha,6.4,7.2,-0.8,fast
2026-09-01T23:21:13Z,12,A59 → Kennedybrücke,6.4,7.7,-1.3,fast
2026-09-01T23:21:13Z,149,Kennedybrücke → A59,4.3,6,-1.7,fast
2026-09-01T23:21:13Z,14,Kölnstr. → Bertha,6.4,7.2,-0.8,fast
2026-09-02T01:05:03Z,12,A59 → Kennedybrücke,6.4,7.7,-1.3,fast
2026-09-02T01:05:03Z,149,Kennedybrücke → A59,4.4,6,-1.6,fast
2026-09-02T01:05:03Z,14,Kölnstr. → Bertha,6.4,7.2,-0.8,fast
2026-09-02T05:40:14Z,12,A59 → Kennedybrücke,14.6,7.7,6.9,slow
2026-09-02T05:40:14Z,149,Kennedybrücke → A59,9.8,6,3.8,slow
2026-09-02T05:40:14Z,14,Kölnstr. → Bertha,7.5,7.2,0.3,moderate
2026-09-02T09:53:11Z,12,A59 → Kennedybrücke,11,7.8,3.2,moderate
2026-09-02T09:53:11Z,149,Kennedybrücke → A59,9.1,6,3.1,slow
2026-09-02T09:53:11Z,14,Kölnstr. → Bertha,6.7,7.2,-0.5,fast
2026-09-02T13:53:54Z,12,A59 → Kennedybrücke,12.9,7.8,5.1,slow
2026-09-02T13:53:54Z,149,Kennedybrücke → A59,11.6,6,5.6,slow
2026-09-02T13:53:54Z,14,Kölnstr. → Bertha,14.4,7.2,7.2,slow
2026-09-02T17:26:11Z,12,A59 → Kennedybrücke,14.2,7.8,6.4,slow
2026-09-02T17:26:11Z,149,Kennedybrücke → A59,10.3,6,4.3,slow
2026-09-02T17:26:11Z,14,Kölnstr. → Bertha,8.5,7.2,1.3,moderate
2026-09-02T19:54:47Z,12,A59 → Kennedybrücke,6.1,7.8,-1.7,fast
2026-09-02T19:54:47Z,149,Kennedybrücke → A59,6.3,6,0.3,moderate
2026-09-02T19:54:47Z,14,Kölnstr. → Bertha,5.2,7.2,-2.0,fast
2026-09-02T22:02:26Z,12,A59 → Kennedybrücke,6.1,7.8,-1.7,fast
2026-09-02T22:02:26Z,149,Kennedybrücke → A59,4.7,6,-1.3,fast
2026-09-02T22:02:26Z,14,Kölnstr. → Bertha,5.2,7.2,-2.0,fast
2026-09-02T23:56:31Z,12,A59 → Kennedybrücke,6.1,7.8,-1.7,fast
2026-09-02T23:56:31Z,149,Kennedybrücke → A59,4.3,6,-1.7,fast
2026-09-02T23:56:31Z,14,Kölnstr. → Bertha,5.2,7.2,-2.0,fast
2026-09-03T01:59:55Z,12,A59 → Kennedybrücke,6.1,7.8,-1.7,fast
2026-09-03T01:59:55Z,149,Kennedybrücke → A59,4,6,-2,fast
2026-09-03T01:59:55Z,14,Kölnstr. → Bertha,5.2,7.2,-2.0,fast
