collected_at,route_id,route_name,current_min,avg_min,delta_min,status
2026-06-19T02:09:18Z,12,A59 → Kennedybrücke,6,6.7,-0.7,fast
2026-06-19T02:09:18Z,149,Kennedybrücke → A59,4,5.6,-1.6,fast
2026-06-19T02:09:18Z,14,Kölnstr. → Bertha,5.4,6.8,-1.4,fast
2026-06-19T07:23:04Z,12,A59 → Kennedybrücke,6.8,6.7,0.1,moderate
2026-06-19T07:23:04Z,149,Kennedybrücke → A59,7.4,5.6,1.8,moderate
2026-06-19T07:23:04Z,14,Kölnstr. → Bertha,7.8,6.8,1.0,moderate
2026-06-19T11:43:44Z,12,A59 → Kennedybrücke,11.2,6.7,4.5,slow
2026-06-19T11:43:44Z,149,Kennedybrücke → A59,9.7,5.6,4.1,slow
2026-06-19T11:43:44Z,14,Kölnstr. → Bertha,9.2,6.8,2.4,moderate
2026-06-19T14:28:18Z,12,A59 → Kennedybrücke,6.5,6.7,-0.2,fast
2026-06-19T14:28:18Z,149,Kennedybrücke → A59,8.7,5.6,3.1,slow
2026-06-19T14:28:18Z,14,Kölnstr. → Bertha,9.5,6.8,2.7,moderate
2026-06-19T16:57:13Z,12,A59 → Kennedybrücke,6.9,6.7,0.2,moderate
2026-06-19T16:57:13Z,149,Kennedybrücke → A59,7.2,5.6,1.6,moderate
2026-06-19T16:57:13Z,14,Kölnstr. → Bertha,7,6.8,0.2,moderate
2026-06-19T18:28:53Z,12,A59 → Kennedybrücke,6.5,6.7,-0.2,fast
2026-06-19T18:28:53Z,149,Kennedybrücke → A59,7.4,5.6,1.8,moderate
2026-06-19T18:28:53Z,14,Kölnstr. → Bertha,5.7,6.8,-1.1,fast
2026-06-19T20:14:06Z,12,A59 → Kennedybrücke,6.5,6.7,-0.2,fast
2026-06-19T20:14:06Z,149,Kennedybrücke → A59,6.6,5.6,1.0,moderate
2026-06-19T20:14:06Z,14,Kölnstr. → Bertha,5.7,6.8,-1.1,fast
2026-06-19T21:33:53Z,12,A59 → Kennedybrücke,6.5,6.7,-0.2,fast
2026-06-19T21:33:53Z,149,Kennedybrücke → A59,5.8,5.6,0.2,moderate
2026-06-19T21:33:53Z,14,Kölnstr. → Bertha,5.7,6.8,-1.1,fast
2026-06-19T22:32:20Z,12,A59 → Kennedybrücke,6.5,6.7,-0.2,fast
2026-06-19T22:32:20Z,149,Kennedybrücke → A59,5.8,5.6,0.2,moderate
2026-06-19T22:32:20Z,14,Kölnstr. → Bertha,5.7,6.8,-1.1,fast
2026-06-19T23:38:27Z,12,A59 → Kennedybrücke,6.5,6.7,-0.2,fast
2026-06-19T23:38:27Z,149,Kennedybrücke → A59,4.3,5.6,-1.3,fast
2026-06-19T23:38:27Z,14,Kölnstr. → Bertha,5.7,6.8,-1.1,fast
2026-06-20T01:37:29Z,12,A59 → Kennedybrücke,6.5,6.7,-0.2,fast
2026-06-20T01:37:29Z,149,Kennedybrücke → A59,4.2,5.6,-1.4,fast
2026-06-20T01:37:29Z,14,Kölnstr. → Bertha,5.7,6.8,-1.1,fast
2026-06-20T06:00:32Z,12,A59 → Kennedybrücke,5.2,6.7,-1.5,fast
2026-06-20T06:00:32Z,149,Kennedybrücke → A59,5.3,5.6,-0.3,fast
2026-06-20T06:00:32Z,14,Kölnstr. → Bertha,4.3,6.8,-2.5,fast
2026-06-20T09:16:55Z,12,A59 → Kennedybrücke,10.3,6.7,3.6,slow
2026-06-20T09:16:55Z,149,Kennedybrücke → A59,9,5.6,3.4,slow
2026-06-20T09:16:55Z,14,Kölnstr. → Bertha,6.3,6.8,-0.5,fast
2026-06-20T11:26:14Z,12,A59 → Kennedybrücke,9.5,6.7,2.8,moderate
2026-06-20T11:26:14Z,149,Kennedybrücke → A59,11.9,5.6,6.3,slow
2026-06-20T11:26:14Z,14,Kölnstr. → Bertha,8,6.8,1.2,moderate
2026-06-20T13:01:40Z,12,A59 → Kennedybrücke,10.3,6.7,3.6,slow
2026-06-20T13:01:40Z,149,Kennedybrücke → A59,8.9,5.6,3.3,slow
2026-06-20T13:01:40Z,14,Kölnstr. → Bertha,11.4,6.8,4.6,slow
2026-06-20T15:04:44Z,12,A59 → Kennedybrücke,8.1,6.7,1.4,moderate
2026-06-20T15:04:44Z,149,Kennedybrücke → A59,8.5,5.6,2.9,slow
2026-06-20T15:04:44Z,14,Kölnstr. → Bertha,6.6,6.8,-0.2,fast
2026-06-20T16:42:51Z,12,A59 → Kennedybrücke,6.4,6.7,-0.3,fast
2026-06-20T16:42:51Z,149,Kennedybrücke → A59,7.3,5.6,1.7,moderate
2026-06-20T16:42:51Z,14,Kölnstr. → Bertha,6.6,6.8,-0.2,fast
2026-06-20T17:59:26Z,12,A59 → Kennedybrücke,6.9,6.7,0.2,moderate
2026-06-20T17:59:26Z,149,Kennedybrücke → A59,8.3,5.6,2.7,moderate
2026-06-20T17:59:26Z,14,Kölnstr. → Bertha,6.4,6.8,-0.4,fast
2026-06-20T19:23:00Z,12,A59 → Kennedybrücke,6.7,6.7,0.0,fast
2026-06-20T19:23:00Z,149,Kennedybrücke → A59,5.7,5.6,0.1,moderate
2026-06-20T19:23:00Z,14,Kölnstr. → Bertha,5.8,6.8,-1.0,fast
2026-06-20T20:44:48Z,12,A59 → Kennedybrücke,6.7,6.7,0.0,fast
2026-06-20T20:44:48Z,149,Kennedybrücke → A59,5,5.6,-0.6,fast
2026-06-20T20:44:48Z,14,Kölnstr. → Bertha,5.8,6.8,-1.0,fast
2026-06-20T21:53:20Z,12,A59 → Kennedybrücke,6.7,6.7,0.0,fast
2026-06-20T21:53:20Z,149,Kennedybrücke → A59,5.3,5.6,-0.3,fast
2026-06-20T21:53:20Z,14,Kölnstr. → Bertha,5.8,6.8,-1.0,fast
2026-06-20T22:54:02Z,12,A59 → Kennedybrücke,6.7,6.7,0.0,fast
